P_0030,P_3000,P_3045,P_4530,P_4560,P_6045,P_6090,P_9060,S_0030,S_3000,S_3045,S_4530,S_4560,S_6045,S_6090,S_9060,idx
0.20801111111111112,0.20172222222222222,0.07285555555555556,0.06985555555555556,0.046955555555555556,0.0464,0.04535555555555556,0.059,18721.0,18155.0,6557.0,6287.0,4226.0,4176.0,4082.0,5310.0,12
0.19591111111111112,0.19492222222222222,0.06884444444444444,0.08443333333333333,0.03286666666666667,0.05064444444444444,0.048266666666666666,0.057433333333333336,17632.0,17543.0,6196.0,7599.0,2958.0,4558.0,4344.0,5169.0,13
0.19555555555555557,0.1947111111111111,0.07894444444444444,0.07164444444444444,0.049055555555555554,0.036922222222222224,0.0642,0.0497,17600.0,17524.0,7105.0,6448.0,4415.0,3323.0,5778.0,4473.0,14
0.20295555555555556,0.1940111111111111,0.08416666666666667,0.06615555555555555,0.05145555555555555,0.04951111111111111,0.04792222222222222,0.05631111111111111,18266.0,17461.0,7575.0,5954.0,4631.0,4456.0,4313.0,5068.0,15
0.18258888888888888,0.1946,0.0647,0.0781,0.04507777777777778,0.04962222222222222,0.04727777777777778,0.07055555555555555,16433.0,17514.0,5823.0,7029.0,4057.0,4466.0,4255.0,6350.0,16
0.20406666666666667,0.20916666666666667,0.0716,0.07468888888888889,0.056,0.04833333333333333,0.04387777777777778,0.04284444444444444,18366.0,18825.0,6444.0,6722.0,5040.0,4350.0,3949.0,3856.0,17
0.20931111111111111,0.20932222222222222,0.08244444444444445,0.056044444444444445,0.05602222222222222,0.03903333333333334,0.062266666666666665,0.04661111111111111,18838.0,18839.0,7420.0,5044.0,5042.0,3513.0,5604.0,4195.0,18
0.2005888888888889,0.18604444444444446,0.06104444444444444,0.06514444444444445,0.04711111111111111,0.05221111111111111,0.05731111111111111,0.061955555555555555,18053.0,16744.0,5494.0,5863.0,4240.0,4699.0,5158.0,5576.0,19
0.21802222222222223,0.19856666666666667,0.07535555555555555,0.06898888888888889,0.04482222222222222,0.04543333333333333,0.06388888888888888,0.05,19622.0,17871.0,6782.0,6209.0,4034.0,4089.0,5750.0,4500.0,20
0.20942222222222223,0.19511111111111112,0.08567777777777778,0.073,0.052055555555555556,0.0406,0.047122222222222225,0.046266666666666664,18848.0,17560.0,7711.0,6570.0,4685.0,3654.0,4241.0,4164.0,21
0.21025555555555556,0.19532222222222223,0.07782222222222222,0.06777777777777778,0.05026666666666667,0.039855555555555554,0.06136666666666667,0.04828888888888889,18923.0,17579.0,7004.0,6100.0,4524.0,3587.0,5523.0,4346.0,22
